stack,year,worked,want,n_total,median_years_w,A_t,D_t,Delta,StackScore_raw,StackScore,BarrierScore,SatisfactionProxy_raw,SatisfactionProxy,Composite_NewEntrant,Composite_Professional
Web,2021,450603,349344,83439,8.0,5.4003883076259305,4.186819113364254,-1.2135691942616766,5.0363175493474275,1.0,0.32,0.7752809797345563,0.1835206531563709,0.4292861611476646,0.5510561959469112
Database,2021,230337,187303,83439,8.0,2.7605436306763025,2.2447896067786046,-0.5157540238976979,2.605817423506993,0.5156716487418475,0.32,0.8131691050503524,0.20877940336690162,0.3751178547171994,0.36490248050680946
Systems,2021,62987,72764,83439,9.0,0.75488680353312,0.872062225098575,0.11717542156545502,0.7900394300027564,0.15383963215610583,0.36,1.1552209759079968,0.4368139839386645,0.34097093717553334,0.3005800480440417
Cloud,2021,86130,76243,83439,8.0,1.0322511055981016,0.9137573556730066,-0.11849374992509498,0.9967029806205732,0.19502169821391854,0.32,0.8852075483474675,0.256805032231645,0.3263099293005484,0.2510501889550609
Mobile,2021,13380,18444,83439,8.0,0.16035666774529897,0.2210477115018157,0.06069104375651674,0.178563980872254,0.03199026750741723,0.32,1.3784667400682866,0.5856444933788577,0.2969343157542702,0.2844894550166242
Scripting,2021,101787,71332,83439,9.0,1.219897170387948,0.8548999868167164,-0.36499718357123156,1.1103980153165784,0.21767782898927232,0.36,0.7007961873939396,0.13386412492929303,0.27007169488146265,0.23523036907449685
AI/ML,2021,9099,8022,83439,9.0,0.10904972494876497,0.09614209182756266,-0.012907633121202314,0.10517743501240426,0.017366452275751086,0.36,0.8816272599080185,0.2544181732720123,0.26036505428606,0.19127203289190414
Desktop,2021,1731,975,83439,15.0,0.020745694459425448,0.011685183187717973,-0.009060511271707474,0.018027541077913205,0.0,0.6,0.5632310829356851,0.04215405529045676,0.15818789774565853,0.19264621658713701
Web,2022,392577,315305,73268,7.0,5.358096303979909,4.303447616967844,-1.0546486870120653,5.04170169787629,1.0,0.28,0.8031671268402146,0.20211141789347642,0.4770702625975869,0.5446334253680429
Database,2022,204669,166228,73268,8.0,2.7934296009171806,2.2687667194409564,-0.5246628814762242,2.6360307364743134,0.5223050185986949,0.32,0.8121793749578176,0.20811958330521171,0.3759894311442331,0.36735788243104145
Systems,2022,55476,67363,73268,9.0,0.7571654746956379,0.9194054703281105,0.1622399956324726,0.8058374733853797,0.158882858710897,0.36,1.2142712349984706,0.4761808233323137,0.35200114261085336,0.31440739048405286
Cloud,2022,95921,82683,73268,8.0,1.3091799967243545,1.1285008462084403,-0.1806791505159142,1.2549762515695801,0.2480685136627572,0.32,0.8619899380085824,0.2413266253390549,0.33509157536192,0.2676253930668194
Mobile,2022,11694,15264,73268,7.0,0.15960583064912376,0.20833105857946171,0.048725227930337955,0.17422339902822515,0.03346301603756326,0.28,1.3052765832901743,0.5368510555267828,0.3111302520010929,0.25844052307306015
Blockchain,2022,1031,2606,73268,6.0,0.01407162744990992,0.035568051536823714,0.021496424086913796,0.020520554675984057,0.00294218482156771,0.24,2.5274634508320895,1.0,0.30947615874600987,0.3731768739286271
AI/ML,2022,7305,6214,73268,7.0,0.09970246219359065,0.08481192334989354,-0.014890538843697107,0.09523530054048152,0.017778319816248958,0.28,0.8506417077595285,0.23376113850635236,0.29213322015776017,0.1612396694784053
Visualization,2022,435,378,73268,7.0,0.005937107604957144,0.005159141780859311,-0.0007779658240978328,0.005703717857727794,0.0,0.28,0.8688191801294489,0.2458794534196326,0.2878444068351804,0.15776383602588978
Scripting,2022,94095,65818,73268,9.0,1.2842577933067643,0.8983185019380903,-0.385939291368674,1.1684760058961619,0.23089212756875416,0.36,0.699484018812954,0.13298934587530264,0.2711689927537669,0.24025365479009247
Desktop,2022,2311,1663,73268,20.0,0.03154173718403669,0.02269749413113501,-0.008844243052901678,0.028888464268166183,0.004603803754971509,0.8,0.7195790903847709,0.1463860602565139,0.08007267289140825,0.2857573395789428
Web,2023,495736,377696,89184,9.0,5.558575529242914,4.235019734481521,-1.3235557947613925,5.161508790814496,1.0,0.36,0.7618892556757398,0.1745928371171599,0.3912888410477215,0.5603778511351479
Systems,2023,75645,92232,89184,10.0,0.8481902583423035,1.0341765339074274,0.18598627556512382,0.9039861410118406,0.1744128200077144,0.4,1.2192728040237193,0.47951520268247955,0.3469623831161105,0.3336196888078296
Database,2023,267600,209839,89184,10.0,3.0005382131324003,2.352877197703624,-0.6476610154287763,2.8062399085037675,0.5432837462977145,0.4,0.7841514576466233,0.18943430509774886,0.32778129543333046,0.39414379004841044
Cloud,2023,147536,119877,89184,9.0,1.6542877646214567,1.3441536598493002,-0.3101341047721564,1.5612475331898097,0.30186406898959944,0.36,0.81252662086288,0.2083510805752533,0.3147188066414085,0.29125095176841576
Mobile,2023,14026,16899,89184,9.0,0.15727036239684247,0.18948466092572658,0.032214298528884105,0.1669346519555077,0.031489267883490685,0.36,1.2048262190773191,0.4698841460515461,0.27503856685917305,0.2615609509688601
AI/ML,2023,8051,6391,89184,8.0,0.09027404018658056,0.071660836024399,-0.018613204162181554,0.0846900789379261,0.01554101095280774,0.32,0.7938056397016308,0.19587042646775385,0.27449376354868676,0.16097753232144926
Blockchain,2023,1168,1597,89184,8.0,0.013096519555077143,0.017906799425905992,0.004810279870828849,0.014539603516325798,0.001937951628831711,0.32,1.367190127153853,0.578126751435902,0.27373723662569843,0.27021320608230326
Scripting,2023,125332,84746,89184,10.0,1.4053193397918908,0.9502377108001435,-0.4550816289917473,1.2687948510943665,0.2451538163492409,0.4,0.6761716057855258,0.11744773719035055,0.2470452007413469,0.2532958476968015
GameDev,2023,1495,1565,89184,10.0,0.016763096519555078,0.01754799067097237,0.0007848941514172932,0.016998564764980267,0.002414775136295858,0.4,1.0467602981468695,0.3645068654312464,0.2411228888848018,0.23031796968389226
Visualization,2023,427,355,89184,10.0,0.004787854323645497,0.003980534625044851,-0.000807319698600646,0.004545658414065303,0.0,0.4,0.8312081253736455,0.2208054169157637,0.23983853606027986,0.1862416250747291
Other,2023,5026,4630,89184,11.0,0.05635540007176175,0.0519151417294582,-0.004440258342303549,0.05502332256907068,0.009788253834482884,0.44,0.9211933633686991,0.2807955755791327,0.2270272498653325,0.22015397420753297
Desktop,2023,2831,1948,89184,23.0,0.031743362038033726,0.02184248295658414,-0.009900879081449585,0.02877309831359885,0.004698005255712641,0.92,0.6880744029574167,0.1253829353049445,0.03189902628599513,0.3154940826937684
Web,2024,334923,254077,65437,6.0,5.118251142320094,3.882772743249232,-1.2354783990708622,4.747607622598835,1.0,0.24,0.7586130255570368,0.1724086837046912,0.4569043201858276,0.5237226051114074
Systems,2024,52637,68202,65437,5.0,0.8043920106361844,1.042254382077418,0.23786237144123357,0.8757507220685543,0.18361584469533174,0.2,1.2957029316466984,0.5304686210977989,0.4410188121663795,0.29258692420747234
Database,2024,187808,152730,65437,8.0,2.870058223940584,2.334000641838715,-0.5360575821018689,2.709240949310023,0.5702087402697751,0.32,0.8132238604589274,0.20881590697261823,0.39287197968753623,0.3867282681996955
GameDev,2024,1402,1667,65437,4.0,0.021425187585005424,0.02547488423980317,0.004049696654797746,0.02264009658144475,0.0037367801373557508,0.16,1.1889601982963653,0.4593067988642436,0.3383046513859019,0.18728675171421535
Cloud,2024,96170,79457,65437,8.0,1.4696578388373551,1.2142518758500542,-0.2554059629873009,1.3930360499411647,0.29268587395931145,0.32,0.8262134338678541,0.21747562257856937,0.33799315698626436,0.27831703635729543
AI/ML,2024,5657,4385,65437,5.0,0.08644956217430505,0.06701101823127588,-0.01943854394302917,0.0806179989913963,0.015961467697167754,0.2,0.7751368706679501,0.18342458044530008,0.3224968782902613,0.12141196121245712
Blockchain,2024,644,957,65437,5.0,0.00984152696486697,0.014624753579779024,0.004783226614912053,0.011276494949340587,0.0013407555532928585,0.2,1.4858738647079428,0.6572492431386285,0.3214929475442996,0.2577110751629057
Mobile,2024,9777,11942,65437,7.0,0.1494108837507832,0.1824961413267723,0.0330852575759891,0.15933646102357993,0.032559319008311334,0.28,1.2214298939646135,0.4809532626430757,0.30764077911852233,0.24130970639624724
Scripting,2024,90275,63549,65437,8.0,1.3795711906108166,0.9711478215688372,-0.4084233690419794,1.2570441798982226,0.2640118783015421,0.32,0.703948534319798,0.135965689546532,0.29592007751222094,0.24239445818457644
Other,2024,5861,6488,65437,8.0,0.08956706450479086,0.09914879960878402,0.009581735103993155,0.0924415850359888,0.018454480366196076,0.32,1.1069659722688403,0.4046439815125602,0.28129813916727703,0.22477498660024647
Visualization,2024,323,319,65437,10.0,0.004936045356602534,0.004874917859926341,-6.112749667619259e-05,0.004917707107599676,0.0,0.4,0.9874160571376751,0.3249440380917834,0.23998777450066475,0.21748321142753502
Desktop,2024,1073,594,65437,18.0,0.016397450983388604,0.009077433256414566,-0.007320017726974038,0.014201445665296393,0.0019574837746344905,0.72,0.5535543122707063,0.03570287484713752,0.111318989964459,0.22749385596399507
Web,2025,191033,122698,49123,10.0,3.888870793721882,2.4977709016143153,-1.3910998921075666,3.471540826089612,1.0,0.4,0.6422867695578618,0.09485784637190786,0.3617800215784867,0.5484573539115724
Systems,2025,36498,39627,49123,9.0,0.7429920811025386,0.806689330863343,0.06369724976080449,0.7621012560307799,0.21619090917656816,0.36,1.0857292636780476,0.39048617578536504,0.3552158136227882,0.3116222164062368
Database,2025,109305,77390,49123,11.0,2.2251287584227346,1.5754330965128351,-0.6496956619098995,2.0302200598497646,0.5830428063959897,0.44,0.7080185281552156,0.13867901877014374,0.327277990176416,0.406820828189439
Cloud,2025,78234,57171,49123,11.0,1.5926144575860595,1.1638336420821205,-0.428780815503939,1.4639802129348776,0.4192362596462795,0.44,0.7307687719207202,0.1538458479471468,0.305938340757724,0.34584825824265586
GameDev,2025,1061,1068,49123,7.0,0.021598843718828246,0.021741343159009018,0.0001424994401807711,0.021641593550882476,0.001984613065231934,0.28,1.006550947406042,0.3377006316040279,0.2888223451141289,0.18610403470730114
DevTools,2025,87328,49390,49123,10.0,1.7777415874437636,1.0054353357897523,-0.7723062516540113,1.54604971194756,0.44297800318480335,0.4,0.5655685715643901,0.04371238104292674,0.2627299509431191,0.31030491558679935
Mobile,2025,5136,5808,49123,10.0,0.10455387496691977,0.11823382122427376,0.013679946257353984,0.10865785884412596,0.027157398072157463,0.4,1.130830305728756,0.42055353715250404,0.25359894848033376,0.25702902037461417
Scripting,2025,64434,37732,49123,11.0,1.3116869898011114,0.7681126967001201,-0.5435742931009914,1.148614701870814,0.3280047159588802,0.44,0.5855910114848177,0.057060674323211824,0.24648702776335382,0.28032008868051567
AI/ML,2025,2800,1924,49123,10.0,0.056999776072308286,0.03916698898682898,-0.017832787085479307,0.05164993994666449,0.010665675734247941,0.4,0.6871308021691447,0.12475386811276312,0.2406997128766033,0.16169243072752812
Other,2025,1761,1547,49123,12.0,0.03584878773690532,0.03149237627995033,-0.004356411456954992,0.03454186429981882,0.005716510096203676,0.48,0.8784536330052162,0.25230242200347747,0.2094153217470905,0.22197733063952468
Desktop,2025,796,563,49123,25.0,0.016204222054841927,0.01146102640311056,-0.004743195651731367,0.014781263359322516,0.0,1.0,0.707242786573612,0.1381618577157413,-0.0009486391303462735,0.3414485573147224
